name,x_fit,y_fit_dem,y_fit_rep
income,0.0,66.3864948006795,33.613505199320514
income,501.00400801603206,66.34118132907163,33.658818670928376
income,1002.0080160320641,66.296089435066,33.703910564934006
income,1503.0120240480962,66.25121913949566,33.748780860504354
income,2004.0160320641282,66.20657046311624,33.793429536883764
income,2505.0200400801605,66.16214342660597,33.83785657339403
income,3006.0240480961925,66.11793805056561,33.882061949434394
income,3507.0280561122245,66.07395435551845,33.92604564448154
income,4008.0320641282565,66.03019236191031,33.96980763808969
income,4509.0360721442885,65.98665209010947,34.013347909890534
income,5010.040080160321,65.94333356040669,34.0566664395933
income,5511.0440881763525,65.90023679301522,34.099763206984775
income,6012.048096192385,65.85736180807068,34.142638191929315
income,6513.0521042084165,65.81470862563117,34.18529137436884
income,7014.056112224449,65.77227726567712,34.227722734322874
income,7515.0601202404805,65.7300677481114,34.269932251888605
income,8016.064128256513,65.68808009275917,34.31191990724083
income,8517.068136272545,65.64631431936797,34.353685680632026
income,9018.072144288577,65.60477044760768,34.39522955239232
income,9519.07615230461,65.56344849707041,34.43655150292959
income,10020.080160320642,65.52234848727062,34.47765151272939
income,10521.084168336673,65.48147043764499,34.51852956235501
income,11022.088176352705,65.44081436755245,34.55918563244755
income,11523.092184368737,65.40038029627418,34.59961970372583
income,12024.09619238477,65.36016824301353,34.639831756986474
income,12525.100200400802,65.32017822689609,34.67982177310392
income,13026.104208416833,65.28041026696954,34.719589733030446
income,13527.108216432865,65.24086438220381,34.7591356177962
income,14028.112224448898,65.20154059149088,34.79845940850911
income,14529.11623246493,65.16243891364489,34.83756108635511
income,15030.120240480961,65.12355936740207,34.876440632597934
income,15531.124248496993,65.08490197142072,34.91509802857929
income,16032.128256513026,65.04646674428119,34.95353325571881
income,16533.132264529057,65.00825370448592,34.99174629551408
income,17034.13627254509,64.97026287045932,35.029737129540685
income,17535.14028056112,64.93249426054784,35.06750573945215
income,18036.144288577154,64.89494789301993,35.10505210698007
income,18537.148296593186,64.85762378606597,35.14237621393402
income,19038.15230460922,64.82052195779833,35.17947804220166
income,19539.15631262525,64.78364242625133,35.21635757374867
income,20040.160320641284,64.74698520938117,35.25301479061884
income,20541.164328657316,64.71055032506595,35.28944967493405
income,21042.168336673345,64.67433779110571,35.32566220889429
income,21543.172344689377,64.63834762522231,35.36165237477769
income,22044.17635270541,64.60257984505948,35.39742015494051
income,22545.180360721442,64.56703446818278,35.4329655318172
income,23046.184368737475,64.5317115120796,35.468288487920404
income,23547.188376753507,64.49661099415908,35.5033890058409
income,24048.19238476954,64.46173293175225,35.538267068247755
income,24549.196392785572,64.42707734211177,35.57292265788823
income,25050.200400801605,64.39264424241216,35.607355757587854
income,25551.204408817634,64.35843364974959,35.64156635025041
income,26052.208416833666,64.32444558114202,35.67555441885798
income,26553.2124248497,64.29068005352909,35.70931994647093
income,27054.21643286573,64.25713708377205,35.742862916227935
income,27555.220440881763,64.22381668865394,35.776183311346045
income,28056.224448897796,64.19071888487939,35.80928111512061
income,28557.22845691383,64.15784368907462,35.842156310925375
income,29058.23246492986,64.12519111778755,35.87480888221245
income,29559.236472945893,64.09276118748764,35.907238812512354
income,30060.240480961922,64.06055391456597,35.93944608543403
income,30561.244488977954,64.0285693153352,35.97143068466481
income,31062.248496993987,63.99680740602949,36.00319259397051
income,31563.25250501002,63.965268202804594,36.0347317971954
income,32064.256513026052,63.93395172173778,36.06604827826222
income,32565.260521042084,63.9028579788278,36.09714202117221
income,33066.26452905811,63.8719869899949,36.12801301000509
income,33567.268537074146,63.84133877108083,36.158661228919165
income,34068.27254509018,63.81091333784879,36.18908666215121
income,34569.27655310621,63.78071070598338,36.21928929401662
income,35070.28056112224,63.75073089109071,36.249269108909296
income,35571.284569138275,63.720973908698234,36.279026091301766
income,36072.28857715431,63.691439774254846,36.30856022574517
income,36573.29258517034,63.66212850313079,36.337871496869205
income,37074.29659318637,63.63304011061772,36.366959889382265
income,37575.300601202405,63.604174611928634,36.395825388071366
income,38076.30460921844,63.575532022197834,36.424467977802166
income,38577.30861723447,63.54711235648098,36.45288764351902
income,39078.3126252505,63.51891562975502,36.481084370244965
income,39579.316633266535,63.49094185691825,36.50905814308176
income,40080.32064128257,63.463191052790144,36.53680894720985
income,40581.3246492986,63.43566323211155,36.56433676788845
income,41082.32865731463,63.40835840954448,36.5916415904555
income,41583.33266533066,63.38127659967226,36.61872340032773
income,42084.33667334669,63.35441781699939,36.64558218300063
income,42585.34068136272,63.327782075951546,36.672217924048454
income,43086.344689378755,63.301369390875685,36.69863060912432
income,43587.34869739479,63.275179776039856,36.72482022396013
income,44088.35270541082,63.24921324563335,36.75078675436664
income,44589.35671342685,63.223469813766556,36.776530186233444
income,45090.360721442885,63.197949494471004,36.80205050552899
income,45591.36472945892,63.17265230169937,36.82734769830062
income,46092.36873747495,63.14757824932544,36.852421750674566
income,46593.37274549098,63.12272735114405,36.87727264885595
income,47094.376753507015,63.09809962087118,36.901900379128826
income,47595.38076152305,63.073695072143835,36.92630492785617
income,48096.38476953908,63.049513718520075,36.95048628147992
income,48597.38877755511,63.02555557347905,36.97444442652094
income,49098.392785571144,63.00182065042089,36.99817934957912
